Raw.file,MQ.Exp,Fractions
LauraH-ctr1.raw,...My_Dataset/File-ctr1.raw,1
LauraH-ctrl2.raw,...My_Dataset/File-ctrl2.raw,1
LauraH-1_20221214144423.raw,...My_Dataset/File-1_20221214144423.raw,1
LauraH-2.raw,...My_Dataset/File-2.raw,1
