Raw.file,Experiment,Fractions,Isobaric.set
DCB4019_Total_Fraction_1,GG,1,1
DCB4019_Total_Fraction_2,GG,2,1
DCB4019_Total_Fraction_3,GG,3,1
DCB4019_Total_Fraction_4,GG,4,1
DCB4019_Phospho,GG,6,1
